movement_id,origin_code,origin_name,origin_district,origin_sub_district,origin_X,origin_Y,origin_in_cluster,cluster_name,destination_LBM_CY_id,destination_district,destination_sub_district,destination_X,destination_Y,species,number,weekly_volume
D-BGR-233-1-02-OUT,D-BGR-233,BAPAK MARGO,BOGOR,CILEUNGSI,106.951933,-6.408333,No,,,BOGOR,GUNUNG PUTRI,106.931262,-6.405011,BR,100,700
D-BGR-236-1-01-OUT,D-BGR-236,BAPAK SAMIL,BOGOR,CILEUNGSI,107.026217,-6.4167,No,,D-BGR-133,BOGOR,CILEUNGSI,106.9631,-6.407883,AK,30,60
D-BGR-236-2-01-OUT,D-BGR-237,Ade,BOGOR,CILEUNGSI,107.027117,-6.4137,No,,D-BGR-133,BOGOR,CILEUNGSI,106.9631,-6.407883,AK,50,350
D-BGR-236-3-01-OUT,D-BGR-238,ANWAR,BOGOR,JONGGOL,107.2483549,-6.250873707,No,,,BOGOR,JONGGOL,107.046967,-6.495464,BR,370,2590
D-BGR-236-3-02-OUT,D-BGR-238,ANWAR,BOGOR,JONGGOL,107.2483549,-6.250873707,No,,,BEKASI,CIBARUSAH,107.10946,-6.43545,BR,60,420
D-BGR-253-3-01-OUT,D-BGR-255,BADRU,BOGOR,JASINGA,106.417667,-6.457433,No,,,LEBAK,MAJA,106.365054,-6.36812,BR,60,180
D-BGR-253-3-02-OUT,D-BGR-255,BADRU,BOGOR,JASINGA,106.417667,-6.457433,No,,D-TGR-044,TANGERANG,CIKUPA,106.519683,-6.222417,BR,100,200
D-BGR-253-3-03-OUT,D-BGR-255,BADRU,BOGOR,JASINGA,106.417667,-6.457433,No,,,BOGOR,JASINGA,106.456614,-6.481936,BR,100,200
D-BGR-259-1-01-OUT,D-BGR-259,HARUN,BOGOR,TAJUR HALANG,106.75475,-6.480517,No,,,BOGOR,SUKARAJA,106.840359,-6.57995,BR,100,700
D-BGR-259-1-02-OUT,D-BGR-259,HARUN,BOGOR,TAJUR HALANG,106.75475,-6.480517,No,,D-BGR-108,BOGOR,BOJONG GEDE,106.79525,-6.489683,BR,300,2100
D-BGR-259-1-03-OUT,D-BGR-259,HARUN,BOGOR,TAJUR HALANG,106.75475,-6.480517,No,,,KOTA BOGOR,TANAH SEREAL,106.785377,-6.546404,BR,100,700
D-BGR-273-1-01-OUT,D-BGR-273,USAHA BERSAMA REMAJA MASJID AL-IKHWAN,BOGOR,CIAMPEA,106.704817,-6.587817,No,,,BOGOR,CIAMPEA,106.698253,-6.574048,BR,20,140
D-BGR-283-1-01-OUT,D-BGR-283,H. Saman,BOGOR,CILEUNGSI,107.02655,-6.41835,No,,D-BGR-133,BOGOR,CILEUNGSI,106.9631,-6.407883,AK,50,350
D-BGR-284-1-01-OUT,D-BGR-284,SARDI,BOGOR,CILEUNGSI,107.035367,-6.417483,No,,D-BGR-133,BOGOR,CILEUNGSI,106.9631,-6.407883,AK,40,80
D-BGR-286-1-01-OUT,D-BGR-286,H. Komar,BOGOR,CILEUNGSI,107.035333,-6.41745,No,,D-BGR-133,BOGOR,CILEUNGSI,106.9631,-6.407883,AK,30,60
D-BGR-286-1-02-OUT,D-BGR-286,H. Komar,BOGOR,CILEUNGSI,107.035333,-6.41745,No,,D-BGR-133,BOGOR,CILEUNGSI,106.9631,-6.407883,DU,20,40
D-BGR-296-1-01-OUT,D-BGR-296,H. AMAT,BOGOR,JONGGOL,107.062467,-6.4696,No,,,BOGOR,JONGGOL,107.046967,-6.495464,AK,34,34
D-BGR-296-2-01-OUT,D-BGR-297,WAHYU,BOGOR,JONGGOL,107.062467,-6.4696,No,,,BOGOR,JONGGOL,107.046967,-6.495464,AK,10,20
D-BGR-299-1-01-OUT,D-BGR-299,EKA,BOGOR,JONGGOL,107.0612,-6.457917,No,,D-BKS-002,BEKASI,CIKARANG SELATAN,107.11855,-6.359667,AK,50,350
D-BGR-299-1-02-OUT,D-BGR-299,EKA,BOGOR,JONGGOL,107.0612,-6.457917,No,,D-BKS-002,BEKASI,CIKARANG SELATAN,107.11855,-6.359667,DU,16,112
D-BGR-299-1-03-OUT,D-BGR-299,EKA,BOGOR,JONGGOL,107.0612,-6.457917,No,,D-BGR-133,BOGOR,CILEUNGSI,106.9631,-6.407883,AK,50,350
D-BGR-299-1-04-OUT,D-BGR-299,EKA,BOGOR,JONGGOL,107.0612,-6.457917,No,,D-BGR-133,BOGOR,CILEUNGSI,106.9631,-6.407883,DU,16,112
D-BGR-299-1-05-OUT,D-BGR-299,EKA,BOGOR,JONGGOL,107.0612,-6.457917,No,,D-BGR-051,BOGOR,JONGGOL,107.06585,-6.465417,AK,50,350
D-BGR-299-1-06-OUT,D-BGR-299,EKA,BOGOR,JONGGOL,107.0612,-6.457917,No,,D-BGR-051,BOGOR,JONGGOL,107.06585,-6.465417,DU,16,112
D-BGR-301-1-01-OUT,D-BGR-301,ABAS,BOGOR,JONGGOL,107.056083,-6.473583,No,,D-BGR-051,BOGOR,JONGGOL,107.06585,-6.465417,AK,20,40
D-BGR-301-2-01-OUT,D-BGR-302,MIMIH SURYADI (AMIH),BOGOR,JONGGOL,107.061967,-6.469717,No,,D-BGR-051,BOGOR,JONGGOL,107.06585,-6.465417,AK,10,20
D-BGR-301-2-02-OUT,D-BGR-302,MIMIH SURYADI (AMIH),BOGOR,JONGGOL,107.061967,-6.469717,No,,D-BGR-051,BOGOR,JONGGOL,107.06585,-6.465417,DU,5,10
D-BGR-303-1-01-OUT,D-BGR-303,SUMPENA,BOGOR,JONGGOL,107.089,-6.4735,No,,D-BKS-042,BEKASI,CIKARANG UTARA,107.155541,-6.275284,AK,49,245
D-BGR-303-1-02-OUT,D-BGR-303,SUMPENA,BOGOR,JONGGOL,107.089,-6.4735,No,,D-BKS-042,BEKASI,CIKARANG UTARA,107.155541,-6.275284,DU,49,245
D-BGR-303-1-03-OUT,D-BGR-303,SUMPENA,BOGOR,JONGGOL,107.089,-6.4735,No,,D-BGR-051,BOGOR,JONGGOL,107.06585,-6.465417,AK,25,50
D-BGR-303-1-04-OUT,D-BGR-303,SUMPENA,BOGOR,JONGGOL,107.089,-6.4735,No,,D-BGR-051,BOGOR,JONGGOL,107.06585,-6.465417,DU,25,50
