code,name,district,sub_district,X,Y,type
M-JKU-007,PASAR SARANG BANGO,JAKARTA UTARA,CILINCING,106.9478167,-6.110033333,LBM
M-JKU-009,PD. Pasar Jaya,JAKARTA UTARA,CILINCING,106.9274167,-6.102283333,LBM
M-JKU-010,PASAR SUKAPURA,JAKARTA UTARA,CILINCING,106.92225,-6.14095,LBM
M-JKU-012,Warakas Market,JAKARTA UTARA,TANJUNG PRIOK,106.87985,-6.114833333,LBM
M-JKU-013,Rawa Badak Market,JAKARTA UTARA,KOJA,106.8953,-6.115233333,LBM
M-JKU-014,Ps.Waru,JAKARTA UTARA,KOJA,106.9048773,-6.121113345,LBM
M-JKU-015,PASAR TUGU,JAKARTA UTARA,KOJA,106.91715,-6.126733333,LBM
M-JKU-016,PASAR KOJA BARU,JAKARTA UTARA,KOJA,106.9157333,-6.12105,LBM
M-JKU-017,PASAR LONTAR,JAKARTA UTARA,KOJA,106.9106667,-6.119066667,LBM
M-JKU-018,PASAR TELUK GONG,JAKARTA UTARA,PENJARINGAN,106.7821333,-6.1381,LBM
M-JKU-019,PASAR KELAPA GADING,JAKARTA UTARA,KELAPA GADING,106.90635,-6.175366667,LBM
M-JKU-020,Suyatmi,JAKARTA UTARA,KELAPA GADING,106.9035302,-6.160768472,LBM
M-JKU-023,Ps. Raga Sakti Warakas,JAKARTA UTARA,TANJUNG PRIOK,106.8749001,-6.132077397,LBM
M-JKU-024,Ps. Mandiri Kelapa Gading,JAKARTA UTARA,KELAPA GADING,106.9035302,-6.160768472,LBM
M-JKU-025,Ps. Bebek Marunda,JAKARTA UTARA,CILINCING,106.9437635,-6.126807791,LBM
M-JKU-026,Ps Lokbin Malaka,JAKARTA UTARA,CILINCING,106.9437635,-6.126807791,LBM
M-JKU-027,Ps K5. Bendungan Melayu,JAKARTA UTARA,KOJA,106.9048773,-6.121113345,LBM
M-JKU-028,Ps Suangi Bambu,JAKARTA UTARA,TANJUNG PRIOK,106.8749001,-6.132077397,LBM
M-JKU-029,Ps. Sunter,JAKARTA UTARA,TANJUNG PRIOK,106.8749001,-6.132077397,LBM
M-JKU-030,Ps Pademangan Timur,JAKARTA UTARA,PADEMANGAN,106.8373335,-6.129512122,LBM
M-JKU-031,Ps. K5 Hybrida,JAKARTA UTARA,KELAPA GADING,106.9035302,-6.160768472,LBM
M-JKU-032,PS Pademangan Barat,JAKARTA UTARA,PADEMANGAN,106.8373335,-6.129512122,LBM
