movement_id,origin_code,origin_name,origin_district,origin_sub_district,origin_x,origin_y,species,number,weekly_volume,type_destination,name_destination,destination_lbm_cy_id,destination_district,destination_sub_district,destination_x_original,destination_y_original,xy,point_x_subdistrict,point_y_subdistrict,object_id_destination,in_km_distance_origin_destination,origin_in_cluster,cluster_name
D-BGR-209-1-03-OUT,D-BGR-209,ARKA PRIMA,BOGOR,PARUNG,106.693067,-6.42785,BR,200,1400,AS,PEDAGANG AYAM POTONG,,JAKARTA TIMUR,MATRAMAN,106.864523,-6.203772,subdistrict coordinate,106.8645227,-6.203772105,1877,10.16913397,No,
D-BGR-209-1-04-OUT,D-BGR-209,ARKA PRIMA,BOGOR,PARUNG,106.693067,-6.42785,BR,200,1400,AS,PEDAGANG AYAM POTONG,,BOGOR,CISEENG,106.678597,-6.455674,subdistrict coordinate,106.6785968,-6.455673513,1934,24.95419008,No,
D-BGR-211-1-01-OUT,D-BGR-211,SULTAN MULTI Ps,BOGOR,PARUNG,106.690483,-6.44505,BR,200,200,AS,PEDAGANG AYAM POTONG,,BOGOR,CISEENG,106.678597,-6.455674,subdistrict coordinate,106.6785968,-6.455673513,1934,35.63562989,No,
D-BGR-211-1-02-OUT,D-BGR-211,SULTAN MULTI Ps,BOGOR,PARUNG,106.690483,-6.44505,BR,150,150,AS,PEDAGANG AYAM POTONG,,BOGOR,GUNUNG SINDUR,106.686687,-6.387298,subdistrict coordinate,106.6866873,-6.387298126,1935,30.85391792,No,
D-BGR-212-2-01-OUT,D-BGR-213,AL-BAHRI FARM,BOGOR,CISEENG,106.68915,-6.445283,BR,500,3500,AS,PEDAGANG AYAM POTONG,,BOGOR,PARUNG,106.71303,-6.435132,subdistrict coordinate,106.7130303,-6.435132238,1933,25.97383698,No,
D-BGR-214-3-01-OUT,D-BGR-216,KELOMPOK MITRA,BOGOR,CIBUNGBULANG,106.655033,-6.568917,BR,200,1400,CY,OMAN,,BOGOR,CIBUNGBULANG,106.661072,-6.576261,subdistrict coordinate,106.6610721,-6.576260588,1906,31.19276325,No,
D-BGR-214-3-02-OUT,D-BGR-216,KELOMPOK MITRA,BOGOR,CIBUNGBULANG,106.655033,-6.568917,BR,200,1400,LBM,PASAR LEUWILIANG,D-BGR-182,BOGOR,LEUWILIANG,106.632733,-6.572817,original coordinate,106.6093508,-6.639782343,1903,31.56634051,No,
D-BGR-220-1-01-OUT,D-BGR-220,NENG NOVI,BOGOR,NANGGUNG,106.54795,-6.578783,BR,5,35,AS,WARGA SEKITAR,,BOGOR,NANGGUNG,106.537548,-6.672647,subdistrict coordinate,106.5375482,-6.672647424,1902,50.95046792,No,
D-BGR-222-1-01-OUT,D-BGR-222,KUSNAWATI,BOGOR,LEUWISADENG,106.563033,-6.563483,BR,100,700,AS,WARGA SEKITAR,,BOGOR,LEUWISADENG,106.587493,-6.572324,subdistrict coordinate,106.5874926,-6.572324194,1904,40.24150652,No,
D-BGR-223-2-01-OUT,D-BGR-224,H. USMAN,BOGOR,CIOMAS,106.758117,-6.602217,BR,30,30,CY,DAHLAN (ID LAMA:RANA),D-BGR-226,BOGOR,CIOMAS,106.731233,-6.164133,original coordinate,106.7622495,-6.608629194,1910,0.017330274,No,
D-BGR-227-1-01-OUT,D-BGR-227,RIZQI FARM,BOGOR,CIOMAS,106.7584,-6.607067,BR,30,30,CY,DAHLAN (ID LAMA:RANA),D-BGR-226,BOGOR,CIOMAS,106.731233,-6.164133,original coordinate,106.7622495,-6.608629194,1910,0.044094255,No,
D-BGR-230-1-01-OUT,D-BGR-230,BUDI SANTOSO,BOGOR,CIAMPEA,106.69695,-6.569683,BR,100,700,LBM,PASAR CIAMPEA,D-BGR-203,BOGOR,CIAMPEA,106.698253,-6.574048,original coordinate,106.6982528,-6.574047734,1907,44.47184859,No,
