movement_id,origin_district,type,species,number,weekly_volume,destination_code,destination_name,destination_x,destination_y,destination_district,destination_subdistrict,point_x_subdistrict_destination,point_y_subdistrict_destination,object_id_subdistrict_destination,in_km_distance_origin_district_destination,destination_in_cluster,destination_cluster_name,cy_id
M-JKT-137-20-03-IN,KOTA SURAKARTA,FA,AK,,,M-JKT-156,Lasto jaya,106.9202,-6.19655,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,462.0051361,Yes,Rawa Kepiting,M-JKT-137-2
M-JKT-137-2-01-IN,BANDUNG,Br,BR,4000,8000,M-JKT-138,MEKARSARI,106.904833,-6.188317,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,122.9560521,Yes,Pulo Gadung,M-JKT-137-2
M-JKT-137-2-02-IN,TASIKMALAYA,Br,BR,4000,12000,M-JKT-138,MEKARSARI,106.904833,-6.188317,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,195.1096599,Yes,Pulo Gadung,M-JKT-137-2
M-JKT-137-2-03-IN,CIREBON,Br,BR,4000,8000,M-JKT-138,MEKARSARI,106.904833,-6.188317,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,187.7302836,Yes,Pulo Gadung,M-JKT-137-2
M-JKT-137-21-01-IN,KEDIRI,LBM,AK,300,2100,M-JKT-157,H.SUGITO,106.920133,-6.19665,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,598.0300953,Yes,Rawa Kepiting,M-JKT-137-2
M-JKT-137-22-01-IN,KOTA SURAKARTA,LBM,AK,675,4725,M-JKT-158,H.SLAMET,106.920133,-6.196383,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,462.0051361,Yes,Rawa Kepiting,M-JKT-137-2
M-JKT-137-23-01-IN,KOTA TASIKMALAYA,Br,BR,3000,9000,M-JKT-159,H. Jafar,106.920117,-6.196033,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,191.5630976,Yes,Rawa Kepiting,M-JKT-137-2
M-JKT-137-23-02-IN,TANGERANG,Br,BR,3000,3000,M-JKT-159,H. Jafar,106.920117,-6.196033,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,43.73714652,Yes,Rawa Kepiting,M-JKT-137-2
M-JKT-137-26-01-IN,CIANJUR,Br,BR,3000,6000,M-JKT-162,Ryan,106.919917,-6.19615,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,101.8333498,Yes,Rawa Kepiting,M-JKT-137-2
M-JKT-137-26-02-IN,TANGERANG,Br,BR,3000,6000,M-JKT-162,Ryan,106.919917,-6.19615,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,43.73714652,Yes,Rawa Kepiting,M-JKT-137-2
M-JKT-137-26-03-IN,BOGOR,Br,BR,3000,6000,M-JKT-162,Ryan,106.919917,-6.19615,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,36.67808816,Yes,Rawa Kepiting,M-JKT-137-2
M-JKT-137-26-04-IN,BANDUNG,Br,BR,3000,3000,M-JKT-162,Ryan,106.919917,-6.19615,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,122.9560521,Yes,Rawa Kepiting,M-JKT-137-2
M-JKT-137-27-01-IN,TANGERANG,FA,BR,500,2000,M-JKT-163,Suaib,106.9199,-6.196167,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,43.73714652,Yes,Rawa Kepiting,M-JKT-137-2
M-JKT-137-27-02-IN,BOGOR,FA,BR,500,1500,M-JKT-163,Suaib,106.9199,-6.196167,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,36.67808816,Yes,Rawa Kepiting,M-JKT-137-2
M-JKT-137-29-01-IN,TASIKMALAYA,Br,BR,1500,1500,M-JKT-164,Ca'man/Dasiman,106.91995,-6.196317,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,195.1096599,Yes,Rawa Kepiting,M-JKT-137-2
M-JKT-137-29-02-IN,KOTA BANDAR LAMPUNG,Br,BR,1500,1500,M-JKT-164,Ca'man/Dasiman,106.91995,-6.196317,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,204.1833267,Yes,Rawa Kepiting,M-JKT-137-2
M-JKT-137-29-03-IN,PURWAKARTA,Br,BR,1500,1500,M-JKT-164,Ca'man/Dasiman,106.91995,-6.196317,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,70.81579018,Yes,Rawa Kepiting,M-JKT-137-2
M-JKT-137-29-04-IN,BANDUNG,Br,BR,1500,1500,M-JKT-164,Ca'man/Dasiman,106.91995,-6.196317,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,122.9560521,Yes,Rawa Kepiting,M-JKT-137-2
M-JKT-137-30-01-IN,TASIKMALAYA,Br,BR,1000,3500,M-JKT-165,Bapak Imam,106.91995,-6.196383,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,195.1096599,Yes,Rawa Kepiting,M-JKT-137-3
M-JKT-137-30-02-IN,BANDUNG,Br,BR,1000,3500,M-JKT-165,Bapak Imam,106.91995,-6.196383,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,122.9560521,Yes,Rawa Kepiting,M-JKT-137-3
M-JKT-137-3-01-IN,BANDUNG,Br,BR,1800,12600,M-JKT-139,Megajaya,106.90435,-6.237983,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,122.9560521,Yes,Pulo Gadung,M-JKT-137-3
M-JKT-137-32-01-IN,TASIKMALAYA,FA,BR,125,125,M-JKT-167,Suhadi,106.920083,-6.19615,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,195.1096599,Yes,Rawa Kepiting,M-JKT-137-3
M-JKT-137-32-02-IN,BOGOR,FA,BR,500,2000,M-JKT-167,Suhadi,106.920083,-6.19615,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,36.67808816,Yes,Rawa Kepiting,M-JKT-137-3
M-JKT-137-32-03-IN,SUKABUMI,FA,BR,500,1500,M-JKT-167,Suhadi,106.920083,-6.19615,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,94.14192575,Yes,Rawa Kepiting,M-JKT-137-3
M-JKT-137-33-01-IN,SUKABUMI,FA,LA,800,2400,M-JKT-168,PT Putra Jaya Kusuma,106.919983,-6.196133,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,94.14192575,Yes,Rawa Kepiting,M-JKT-137-3
M-JKT-137-33-02-IN,BOGOR,FA,LA,800,3200,M-JKT-168,PT Putra Jaya Kusuma,106.919983,-6.196133,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,36.67808816,Yes,Rawa Kepiting,M-JKT-137-3
